ID_DISTRITO_LOCAL,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,PNA,MORENA,PH,PES,PPG,PRI_PVEM,PRD_PT,PRI_PVEM_NA,PRI_NA,PVEM_NA,CAN_IND,NUM_VOTOS_CAN_NREG,VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION,,
5,ACAPULCO DE JUAREZ,140,C1,27,71,77,6,11,16,2,9,2,1,3,,4,,,,,0,13,242,529,45.75%,,
5,ACAPULCO DE JUAREZ,141,B,42,64,53,9,18,10,5,11,4,7,4,,2,,,,,0,16,245,531,46.14%,,
5,ACAPULCO DE JUAREZ,141,C1,43,54,69,2,14,17,1,17,0,2,1,,0,,,,,0,10,230,531,43.31%,,
5,ACAPULCO DE JUAREZ,141,C2,40,69,60,15,11,12,3,10,1,2,3,,2,,,,,0,13,241,531,45.39%,,
5,ACAPULCO DE JUAREZ,142,B,50,80,54,15,14,14,3,16,1,4,2,,0,,,,,0,19,272,675,40.30%,,
5,ACAPULCO DE JUAREZ,142,C1,52,71,47,12,16,19,3,13,4,2,1,,0,,,,,0,18,258,674,38.28%,,
5,ACAPULCO DE JUAREZ,143,B,23,77,89,10,18,30,0,4,3,5,3,,0,,,,,0,24,286,736,38.86%,,
5,ACAPULCO DE JUAREZ,143,C1,28,107,77,9,15,31,3,5,1,3,0,,4,,,,,0,19,302,736,41.03%,,
5,ACAPULCO DE JUAREZ,143,C2,30,95,59,8,21,28,1,7,3,2,1,,3,,,,,0,0,258,736,35.05%,,
5,ACAPULCO DE JUAREZ,143,C3,26,87,91,8,11,22,1,6,5,2,2,,4,,,,,0,22,287,735,39.05%,,
5,ACAPULCO DE JUAREZ,144,B,35,79,67,5,15,24,2,9,1,3,2,,2,,,,,0,10,254,518,49.03%,,
5,ACAPULCO DE JUAREZ,144,C1,39,56,56,2,11,51,4,11,1,2,0,,7,,,,,0,10,250,518,48.26%,,
5,ACAPULCO DE JUAREZ,144,C2,45,66,44,5,9,32,7,6,1,4,0,,0,,,,,0,24,243,517,47.00%,,
5,ACAPULCO DE JUAREZ,145,B,41,62,72,10,10,29,2,7,4,3,1,,6,,,,,0,9,256,646,39.63%,,
5,ACAPULCO DE JUAREZ,145,C1,45,66,95,4,11,21,3,8,2,5,2,,4,,,,,0,9,275,645,42.64%,,
5,ACAPULCO DE JUAREZ,146,B,39,61,69,15,21,22,2,11,0,2,2,,4,,,,,0,13,261,616,42.37%,,
5,ACAPULCO DE JUAREZ,146,C1,27,70,73,12,19,24,3,10,3,2,4,,1,,,,,0,21,269,615,43.74%,,
5,ACAPULCO DE JUAREZ,146,C2,35,55,76,25,10,18,3,10,3,1,0,,2,,,,,0,0,238,615,38.70%,,
5,ACAPULCO DE JUAREZ,147,B,42,76,58,6,10,18,1,9,0,0,2,,11,,,,,1,10,244,523,46.65%,,
5,ACAPULCO DE JUAREZ,147,C1,27,71,61,8,13,9,1,18,2,2,0,,3,,,,,0,10,225,522,43.10%,,
5,ACAPULCO DE JUAREZ,147,C2,59,67,64,6,13,11,4,7,3,5,2,,3,,,,,0,7,251,522,48.08%,,
5,ACAPULCO DE JUAREZ,148,B,43,73,59,5,16,12,3,10,1,2,2,,0,,,,,1,12,239,562,42.53%,,
5,ACAPULCO DE JUAREZ,148,C1,50,68,59,7,17,17,3,8,2,1,2,,2,,,,,1,11,248,562,44.13%,,
5,ACAPULCO DE JUAREZ,148,C2,17,59,62,7,16,42,0,7,3,2,3,,2,,,,,0,12,232,562,41.28%,,
5,ACAPULCO DE JUAREZ,162,B,36,45,76,14,7,42,1,6,0,4,3,,10,,,,,4,13,261,616,42.37%,,
5,ACAPULCO DE JUAREZ,162,C1,27,61,82,6,12,31,4,11,3,4,2,,10,,,,,0,12,265,615,43.09%,,
5,ACAPULCO DE JUAREZ,162,C2,31,65,94,9,7,22,1,9,1,2,3,,8,,,,,0,14,266,615,43.25%,,
5,ACAPULCO DE JUAREZ,163,B,16,27,72,6,4,18,1,4,1,1,0,,5,,,,,0,9,164,341,48.09%,,
5,ACAPULCO DE JUAREZ,164,B,38,73,84,0,10,29,5,9,0,2,6,,0,,,,,0,21,277,714,38.80%,,
