ID_DISTRITO_LOCAL,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,PNA,MORENA,PH,PES,PPG,PRI_PVEM,PRD_PT,NUM_VOTOS_CAN_NREG,VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
27,TLALIXTAQUILLA DE MALDONADO,2560,B,0,149,30,65,1,0,1,11,1,0,0,0,0,0,5,263,420,62.62%
27,TLALIXTAQUILLA DE MALDONADO,2560,C1,0,103,46,98,0,1,0,11,0,0,0,0,2,0,2,263,420,62.62%
27,TLALIXTAQUILLA DE MALDONADO,2561,B,0,156,37,94,1,11,1,10,0,0,0,1,1,0,16,328,537,61.08%
27,TLALIXTAQUILLA DE MALDONADO,2561,C1,0,168,45,70,3,9,0,7,0,0,0,3,0,0,12,317,536,59.14%
27,TLAPA DE COMONFORT,2562,B,5,115,59,18,5,12,2,14,1,2,5,0,6,0,14,258,636,40.57%
27,TLAPA DE COMONFORT,2562,C1,6,151,72,0,0,22,5,25,0,3,4,0,0,1,9,298,636,46.86%
27,TLAPA DE COMONFORT,2562,C2,4,146,54,20,1,15,6,15,3,9,6,0,0,0,16,295,635,46.46%
27,TLAPA DE COMONFORT,2563,B,2,110,40,21,3,16,3,30,0,5,2,2,3,0,6,243,579,41.97%
27,TLAPA DE COMONFORT,2563,C1,11,126,51,15,8,9,1,13,1,3,1,3,6,0,8,256,579,44.21%
27,TLAPA DE COMONFORT,2563,C2,7,133,41,20,13,16,0,20,2,2,2,3,1,0,13,273,579,47.15%
27,TLAPA DE COMONFORT,2564,B,4,122,47,28,5,12,1,17,3,7,4,5,2,0,18,275,706,38.95%
27,TLAPA DE COMONFORT,2564,C1,,,,,,,,,,,,,,,,0,706,0.00%
27,TLAPA DE COMONFORT,2564,C2,4,102,62,16,5,27,1,26,2,1,4,0,4,0,16,270,705,38.30%
27,TLAPA DE COMONFORT,2564,C3,3,108,42,17,5,21,2,12,2,1,1,1,0,0,27,242,705,34.33%
27,TLAPA DE COMONFORT,2564,C4,2,139,52,32,6,14,1,18,2,3,1,2,3,0,12,287,705,40.71%
27,TLAPA DE COMONFORT,2564,C5,0,118,48,24,8,15,4,14,0,3,4,3,2,0,16,259,705,36.74%
27,TLAPA DE COMONFORT,2564,C6,6,113,38,23,7,14,2,16,1,5,0,1,2,0,11,239,705,33.90%
27,TLAPA DE COMONFORT,2564,S1,4,179,123,25,3,10,1,24,0,8,9,0,3,0,19,408,0,#DIV/0!
27,TLAPA DE COMONFORT,2565,B,1,91,56,24,6,18,3,17,1,0,6,0,0,0,16,239,735,32.52%
27,TLAPA DE COMONFORT,2565,C1,0,93,42,32,7,15,2,19,1,7,2,2,1,0,7,230,735,31.29%
27,TLAPA DE COMONFORT,2565,C2,0,106,48,39,1,18,4,10,0,4,2,0,0,0,13,245,735,33.33%
27,TLAPA DE COMONFORT,2565,C3,0,77,42,31,3,14,2,14,0,3,2,0,0,0,17,205,735,27.89%
27,TLAPA DE COMONFORT,2565,C4,0,104,51,28,5,17,2,19,0,2,3,0,4,1,13,249,734,33.92%
27,TLAPA DE COMONFORT,2566,B,3,73,76,17,2,13,0,27,0,9,0,0,0,0,11,231,603,38.31%
27,TLAPA DE COMONFORT,2566,C1,2,70,73,24,3,10,3,14,1,6,6,0,0,0,17,229,603,37.98%
27,TLAPA DE COMONFORT,2566,C2,7,83,57,32,5,13,2,16,2,7,6,0,2,1,17,250,603,41.46%
27,TLAPA DE COMONFORT,2566,C3,1,76,51,27,5,13,0,20,1,3,6,1,4,0,17,225,603,37.31%
27,TLAPA DE COMONFORT,2566,C4,1,59,65,34,4,15,0,26,3,7,4,0,0,0,19,237,602,39.37%
27,TLAPA DE COMONFORT,2567,B,3,94,62,24,0,16,2,30,1,9,3,0,0,0,20,264,677,39.00%
27,TLAPA DE COMONFORT,2567,C1,,,,,,,,,,,,,,,,0,677,0.00%
27,TLAPA DE COMONFORT,2567,C2,,,,,,,,,,,,,,,,0,676,0.00%
27,TLAPA DE COMONFORT,2567,C3,1,68,79,22,0,13,2,40,2,9,2,0,0,0,18,256,676,37.87%
27,TLAPA DE COMONFORT,2568,B,4,114,42,41,4,12,4,13,0,2,3,1,5,0,15,260,613,42.41%
27,TLAPA DE COMONFORT,2568,C1,4,113,38,27,1,16,1,13,2,2,7,0,0,0,15,239,612,39.05%
27,TLAPA DE COMONFORT,2568,C2,2,108,43,24,1,25,0,19,3,4,6,3,5,0,17,260,612,42.48%
27,TLAPA DE COMONFORT,2568,S1,6,157,60,33,3,30,2,33,4,13,7,0,0,0,16,364,0,#DIV/0!
27,TLAPA DE COMONFORT,2569,B,,,,,,,,,,,,,,,,0,653,0.00%
27,TLAPA DE COMONFORT,2569,C1,1,79,53,19,3,14,6,13,0,2,0,1,2,,21,214,653,32.77%
27,TLAPA DE COMONFORT,2569,C2,3,72,54,16,7,19,3,20,1,4,1,0,3,1,15,219,652,33.59%
27,TLAPA DE COMONFORT,2569,C3,0,79,56,25,4,14,1,22,1,2,4,1,0,0,15,224,652,34.36%
27,TLAPA DE COMONFORT,2569,C4,2,80,36,16,3,17,4,26,0,2,6,0,5,0,11,208,652,31.90%
27,TLAPA DE COMONFORT,2569,C5,1,94,52,30,3,17,3,13,1,1,3,3,3,0,16,240,652,36.81%
27,TLAPA DE COMONFORT,2569,C6,0,93,41,27,3,15,3,15,0,1,5,0,0,0,15,218,652,33.44%
27,TLAPA DE COMONFORT,2570,B,6,92,35,19,0,29,2,33,2,7,4,1,5,0,13,248,705,35.18%
27,TLAPA DE COMONFORT,2570,C1,3,105,43,115,3,23,3,29,1,7,3,0,1,0,16,352,705,49.93%
