ID_DISTRITO_LOCAL,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,PNA,MORENA,PH,PES,PPG,PRI_PVEM,PRD_PT,NUM_VOTOS_CAN_NREG,VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,"Participación
Ciudadana"
3,ACAPULCO DE JUAREZ,288,C1,42,61,26,1,12,26,7,6,2,10,3,2,0,,27,225,420,53.57%
3,ACAPULCO DE JUAREZ,289,B,41,76,25,1,24,17,7,12,4,6,3,0,0,1,16,233,472,49.36%
3,ACAPULCO DE JUAREZ,289,C1,46,71,28,1,21,11,6,10,2,8,1,0,0,0,33,238,472,50.42%
3,ACAPULCO DE JUAREZ,298,B,34,79,49,3,29,47,9,15,4,4,7,4,4,0,23,311,659,47.19%
3,ACAPULCO DE JUAREZ,298,C1,28,63,62,2,22,28,8,15,5,4,15,0,2,0,19,273,659,41.43%
3,ACAPULCO DE JUAREZ,298,C2,32,57,63,6,31,33,8,7,3,6,3,8,2,1,24,284,659,43.10%
3,ACAPULCO DE JUAREZ,298,C3,41,89,51,11,26,30,2,9,2,8,2,2,0,0,14,287,659,43.55%
3,ACAPULCO DE JUAREZ,299,B,27,82,57,0,0,39,6,6,3,5,5,82,57,0,11,380,533,71.29%
3,ACAPULCO DE JUAREZ,299,C1,25,85,55,0,0,34,4,16,2,2,7,0,0,0,17,247,532,46.43%
3,ACAPULCO DE JUAREZ,299,C2,23,71,53,7,10,35,2,16,2,4,8,2,0,0,0,233,532,43.80%
3,ACAPULCO DE JUAREZ,299,S1,6,32,20,3,8,8,0,4,3,1,1,1,0,0,3,90,0,#DIV/0!
3,ACAPULCO DE JUAREZ,300,B,31,76,87,6,14,21,6,8,5,7,8,6,4,0,17,296,732,40.44%
3,ACAPULCO DE JUAREZ,300,C1,17,73,87,2,30,27,8,9,3,8,0,3,6,0,25,298,732,40.71%
3,ACAPULCO DE JUAREZ,300,C2,27,98,81,4,17,27,9,7,2,9,4,6,5,0,20,316,731,43.23%
3,ACAPULCO DE JUAREZ,300,C3,22,72,91,4,36,24,8,12,5,3,5,0,0,0,0,282,731,38.58%
3,ACAPULCO DE JUAREZ,302,B,72,61,23,1,22,17,4,7,0,8,1,0,2,2,13,233,546,42.67%
3,ACAPULCO DE JUAREZ,302,C1,40,61,28,4,22,17,7,8,2,3,3,0,0,0,14,209,546,38.28%
3,ACAPULCO DE JUAREZ,302,C2,60,63,29,3,23,14,7,10,3,5,2,0,0,0,0,219,546,40.11%
3,ACAPULCO DE JUAREZ,304,B,21,109,70,9,25,44,12,4,1,2,6,6,3,0,11,323,670,48.21%
3,ACAPULCO DE JUAREZ,304,C1,14,116,53,4,22,39,10,3,0,3,6,11,2,0,14,297,670,44.33%
3,ACAPULCO DE JUAREZ,304,C2,13,120,53,2,29,40,2,4,3,3,10,12,4,1,10,306,670,45.67%
3,ACAPULCO DE JUAREZ,304,C3,18,103,74,5,21,41,8,11,2,2,7,7,5,0,9,313,669,46.79%
3,ACAPULCO DE JUAREZ,383,B,10,65,63,13,25,16,4,14,2,5,5,8,1,0,15,246,609,40.39%
3,ACAPULCO DE JUAREZ,383,C1,17,76,67,9,9,17,3,16,1,3,2,4,7,0,17,248,609,40.72%
4,ACAPULCO DE JUAREZ,14,B,25,109,55,3,8,28,1,9,26,9,5,117,58,0,20,473,714,66.25%
4,ACAPULCO DE JUAREZ,15,B,22,42,54,9,12,12,7,9,2,3,2,1,6,0,14,195,464,42.03%
4,ACAPULCO DE JUAREZ,15,C1,17,53,58,12,3,17,6,11,11,6,0,2,3,0,15,214,463,46.22%
4,ACAPULCO DE JUAREZ,16,B,4,75,55,3,10,12,2,11,3,3,1,0,0,0,14,193,442,43.67%
4,ACAPULCO DE JUAREZ,16,C1,8,0,0,0,0,14,3,5,3,6,4,92,43,0,11,189,441,42.86%
4,ACAPULCO DE JUAREZ,17,B,11,65,54,2,9,14,8,2,9,11,0,4,2,0,10,201,531,37.85%
4,ACAPULCO DE JUAREZ,17,C1,14,97,64,64,97,17,4,11,2,11,2,97,61,0,21,562,530,106.04%
4,ACAPULCO DE JUAREZ,18,B,14,89,138,6,37,12,3,6,6,3,7,6,4,0,20,351,714,49.16%
4,ACAPULCO DE JUAREZ,18,C1,12,80,113,9,25,23,5,7,7,9,0,9,4,0,28,331,713,46.42%
4,ACAPULCO DE JUAREZ,19,B,14,78,87,9,14,28,8,12,9,7,6,3,4,1,20,300,748,40.11%
4,ACAPULCO DE JUAREZ,19,C1,13,61,93,9,16,25,10,5,4,6,8,0,5,0,26,281,747,37.62%
4,ACAPULCO DE JUAREZ,19,C2,20,60,84,10,7,20,10,10,8,7,8,4,10,0,29,287,747,38.42%
4,ACAPULCO DE JUAREZ,20,B,14,106,64,5,4,15,3,8,4,4,10,4,4,0,10,255,590,43.22%
4,ACAPULCO DE JUAREZ,20,C1,14,92,81,1,3,17,7,10,3,20,7,0,3,0,13,271,590,45.93%
4,ACAPULCO DE JUAREZ,21,B,13,55,106,0,0,10,10,15,4,12,4,0,0,0,8,237,694,34.15%
4,ACAPULCO DE JUAREZ,21,C1,22,56,92,5,7,15,12,13,10,17,9,0,0,0,17,275,694,39.63%
4,ACAPULCO DE JUAREZ,22,B,27,58,120,8,10,31,10,11,2,8,9,0,5,0,0,299,640,46.72%
4,ACAPULCO DE JUAREZ,22,C1,16,78,100,5,7,28,20,13,0,8,6,1,4,0,17,303,639,47.42%
4,ACAPULCO DE JUAREZ,23,B,13,53,68,1,9,18,11,16,3,5,1,1,0,0,15,214,533,40.15%
4,ACAPULCO DE JUAREZ,23,C1,9,53,59,4,7,13,12,11,2,6,4,0,1,1,13,195,533,36.59%
4,ACAPULCO DE JUAREZ,23,C2,25,35,80,3,13,6,15,18,7,9,1,0,1,0,9,222,533,41.65%
4,ACAPULCO DE JUAREZ,26,B,32,68,74,6,4,24,15,16,10,14,6,2,0,9,21,301,660,45.61%
4,ACAPULCO DE JUAREZ,26,C1,23,59,49,4,5,24,16,24,5,23,6,0,2,0,19,259,660,39.24%
4,ACAPULCO DE JUAREZ,27,B,21,36,80,6,8,28,8,12,2,13,7,2,1,0,12,236,585,40.34%
4,ACAPULCO DE JUAREZ,27,C1,17,49,62,6,3,25,13,9,1,8,3,2,3,0,11,212,585,36.24%
4,ACAPULCO DE JUAREZ,27,C2,15,55,65,3,12,28,12,12,2,7,6,2,3,0,12,234,584,40.07%
4,ACAPULCO DE JUAREZ,28,B,17,107,74,7,5,37,5,15,4,5,5,8,2,0,18,309,617,50.08%
4,ACAPULCO DE JUAREZ,28,C1,10,105,94,8,11,30,12,7,1,5,4,4,3,0,15,309,617,50.08%
4,ACAPULCO DE JUAREZ,29,B,19,62,62,3,10,25,16,12,1,6,5,0,2,0,16,239,572,41.78%
4,ACAPULCO DE JUAREZ,29,C1,18,75,56,0,10,14,2,15,0,9,5,0,3,0,0,207,572,36.19%
4,ACAPULCO DE JUAREZ,29,C2,19,65,63,8,3,23,6,19,10,5,5,2,5,2,6,241,571,42.21%
4,ACAPULCO DE JUAREZ,30,B,12,81,45,4,5,17,0,7,2,4,2,0,2,0,6,187,573,32.64%
