ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PPG,IHG,CG,PSM,PSG,CAND_IND3,CAND_IND6,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM,MORENA_ES,PAN_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1210,C,1,0,C01,5,64,43,9,11,7,4,219,10,8,2,1,1,4,0,0,0,1,0,0,2,0,0,391,0,0,391,672,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1210,C,2,0,C02,7,53,30,6,23,7,8,168,9,5,2,2,0,0,0,0,1,2,0,0,2,5,0,330,0,32,362,672,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1210,C,3,0,C03,6,65,27,5,23,6,4,205,7,7,0,2,1,0,0,0,0,0,0,0,2,0,0,360,0,18,378,671,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1211,B,1,0,B,3,72,28,5,15,4,2,188,2,11,1,4,6,3,0,0,0,0,0,0,4,2,0,350,0,28,378,625,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1211,C,1,0,C01,6,81,26,8,28,3,3,167,6,8,1,2,1,0,0,0,0,0,0,1,2,5,0,348,0,23,371,625,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1211,C,2,0,C02,6,43,23,9,27,5,1,225,7,15,0,1,3,1,0,0,1,0,0,0,2,1,0,370,0,20,390,625,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1211,C,3,0,C03,3,63,28,9,24,8,4,185,4,8,1,3,0,4,0,0,0,0,0,0,2,1,0,347,0,17,364,625,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1212,B,1,0,B,8,85,40,9,33,6,8,209,4,7,2,4,0,0,0,0,0,0,0,0,2,4,0,421,0,16,437,741,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1212,C,1,0,C01,8,71,39,9,29,6,7,241,2,8,8,4,2,4,0,0,0,3,0,0,1,0,0,442,0,21,463,740,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1212,C,2,0,C02,10,80,31,8,38,14,8,223,5,7,1,0,1,5,0,0,3,0,0,0,4,2,0,440,0,23,463,740,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1212,C,3,0,C03,7,80,26,7,43,6,4,243,4,8,1,8,0,2,0,0,2,0,0,2,5,3,0,451,0,21,472,740,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,B,1,0,B,7,84,37,17,16,10,2,202,9,10,0,9,1,1,0,0,1,1,0,2,4,1,0,414,0,18,432,733,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,C,1,0,C01,5,67,30,13,19,9,3,229,6,9,4,5,4,7,0,0,2,0,0,0,2,2,0,416,0,18,434,733,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,C,2,0,C02,7,63,30,9,20,9,2,215,9,5,0,2,0,2,0,0,0,0,0,1,3,2,0,379,0,20,399,732,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,C,3,0,C03,4,63,47,7,14,4,4,218,4,4,2,5,4,1,0,0,0,0,0,1,1,3,0,386,0,23,409,732,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,C,4,0,C04,5,62,39,9,24,8,1,207,9,11,0,2,2,0,0,0,0,0,0,0,3,1,0,383,0,14,397,732,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,C,5,0,C05,8,70,40,9,21,10,2,219,12,9,2,4,2,0,0,0,1,0,0,0,6,2,0,417,0,17,434,732,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,C,6,0,C06,5,61,38,15,17,8,5,221,9,10,1,4,3,1,0,0,2,0,0,0,2,0,0,402,0,27,429,732,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,C,7,0,C07,9,60,43,11,21,8,3,224,9,4,0,6,1,4,0,0,0,0,0,0,1,6,0,410,0,21,431,732,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,C,8,0,C08,3,66,49,10,14,6,2,236,6,6,3,3,2,3,0,0,0,0,0,0,2,2,0,413,0,20,433,732,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,C,9,0,C09,9,60,31,14,28,4,1,211,3,7,3,6,1,3,0,0,1,0,0,1,4,2,0,389,0,22,411,732,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,C,10,0,C10,5,67,39,10,11,9,5,224,8,8,1,9,5,4,0,0,1,1,0,0,5,3,0,415,0,17,432,732,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,C,11,0,C11,5,67,31,9,20,10,4,234,13,14,2,4,3,2,0,0,0,1,0,0,0,3,0,422,1,23,446,732,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,C,12,0,C12,7,73,29,16,30,5,3,207,9,7,2,3,0,4,0,0,1,0,0,1,2,3,0,402,0,14,416,732,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,C,13,0,C13,7,53,37,13,23,6,3,210,7,9,1,9,3,3,0,0,0,0,1,0,4,0,0,389,0,22,411,732,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,C,14,0,C14,7,62,42,7,20,5,3,209,7,4,1,6,1,1,0,0,0,1,0,1,3,7,0,387,0,24,411,732,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,C,15,0,C15,16,58,45,12,18,7,9,245,6,15,2,16,1,3,0,0,0,0,0,0,2,2,0,457,0,23,480,732,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1214,B,1,0,B,2,84,33,5,9,3,2,192,3,7,2,5,0,0,0,0,1,2,0,0,3,2,0,355,2,11,368,606,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1214,C,1,0,C01,11,80,38,3,12,7,4,183,6,7,1,6,0,1,0,0,6,0,0,1,4,0,0,370,0,22,392,606,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1214,C,2,0,C02,10,76,26,10,7,0,4,192,5,0,1,7,0,1,0,0,1,0,1,0,4,4,0,349,0,15,364,605,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1215,B,1,0,B,15,114,31,7,10,8,4,174,2,6,1,5,2,3,0,0,0,0,0,0,6,2,0,390,0,16,406,578,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1215,C,1,0,C01,11,83,25,9,12,6,1,195,3,3,2,8,2,3,0,0,0,0,0,0,7,0,0,370,3,17,390,577,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1215,S,1,0,SMR01,1,7,6,1,6,4,2,27,1,1,0,0,0,0,0,0,0,0,0,0,2,3,0,61,0,1,62,0,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1216,B,1,0,B,15,126,14,9,8,3,4,205,7,2,3,5,1,1,0,0,0,1,0,0,3,0,0,407,1,16,424,682,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1216,C,1,0,C01,4,112,35,9,14,7,3,238,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,426,0,0,426,682,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1216,C,2,0,C02,7,116,20,10,14,5,3,224,7,7,0,5,0,2,0,0,4,0,0,0,2,0,0,426,0,24,450,681,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1216,S,1,0,SMR01,3,30,14,4,5,3,2,49,2,2,0,3,0,1,0,0,0,0,0,0,1,1,0,120,0,6,126,0,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1217,B,1,0,B,6,74,51,7,14,2,4,226,6,8,0,2,6,2,0,0,0,1,0,1,1,4,0,415,0,28,443,716,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1217,C,1,0,C01,4,59,53,14,12,3,1,270,2,14,2,7,1,3,0,0,0,0,0,0,0,2,0,447,3,14,464,715,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1217,C,2,0,C02,2,69,42,7,12,3,5,234,7,15,0,3,1,5,0,0,0,1,0,0,0,5,0,411,0,20,431,715,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1219,B,1,0,B,5,87,37,7,17,7,4,245,14,9,2,4,1,0,0,0,2,0,0,0,2,3,0,446,0,17,463,705,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1219,C,1,0,C01,6,76,44,12,17,6,4,251,4,12,3,4,0,2,0,0,0,0,0,0,0,5,0,446,0,15,461,704,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1220,B,1,0,B,7,83,26,13,10,4,0,144,10,8,0,7,1,2,0,0,1,0,0,0,4,0,0,320,0,13,333,509,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1220,C,1,0,C01,7,70,21,4,13,9,2,159,3,6,0,2,4,1,0,0,3,1,0,1,4,4,0,314,0,14,328,509,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1220,C,2,0,C02,5,87,19,11,13,8,4,154,2,3,4,3,2,3,0,0,1,0,0,0,6,0,0,325,6,2,333,508,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1221,B,1,0,B,3,74,40,6,18,6,2,176,7,5,4,5,1,1,0,0,1,0,0,0,4,0,0,353,0,19,372,667,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1221,C,1,0,C01,10,66,132,5,18,8,0,111,6,8,0,1,0,0,0,0,0,1,0,1,2,1,0,370,0,20,390,666,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1221,C,2,0,C02,5,81,23,6,15,2,2,216,4,3,0,1,2,0,0,0,4,0,0,0,1,1,0,366,0,23,389,666,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1221,C,3,0,C03,7,68,38,9,21,4,3,184,3,4,0,2,1,1,0,0,0,0,0,1,3,0,0,349,0,22,371,666,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1222,B,1,0,B,8,80,32,11,13,4,0,174,7,8,1,2,0,0,0,0,0,2,0,1,3,3,0,349,0,18,367,647,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1222,C,1,0,C01,7,86,40,9,18,4,1,205,4,9,1,0,2,0,0,0,0,0,1,0,3,3,0,393,1,18,412,646,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1222,C,2,0,C02,5,68,27,9,14,8,3,187,6,9,6,0,1,0,0,0,0,0,1,0,3,1,0,348,0,13,361,646,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1222,C,3,0,C03,6,63,43,11,20,6,2,191,5,9,1,2,0,1,0,0,2,0,0,2,6,3,0,373,0,20,393,646,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1223,B,1,0,B,7,77,29,10,18,2,6,222,5,9,2,3,5,3,0,0,0,0,0,0,3,4,0,405,0,12,417,660,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1223,C,1,0,C01,11,96,25,9,14,4,9,197,8,10,0,3,1,4,0,0,0,0,0,0,2,4,0,397,0,11,408,659,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1224,B,1,0,B,7,64,24,6,10,1,5,151,1,4,2,1,2,0,0,0,2,0,0,0,3,2,0,285,0,9,294,433,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1224,C,1,0,C01,6,46,35,11,15,1,6,138,3,11,1,2,3,3,0,0,3,0,0,0,0,0,0,284,0,15,299,432,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1225,B,1,0,B,7,103,17,6,17,6,8,157,6,5,1,10,0,3,0,0,1,0,0,0,6,0,0,353,0,8,361,517,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1225,C,1,0,C01,9,84,17,7,15,3,3,157,2,4,3,13,3,3,0,0,2,0,0,0,3,3,0,331,3,15,349,516,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1225,S,1,0,SMR01,5,225,25,9,17,4,0,280,7,7,5,2,1,2,0,0,0,0,0,0,0,0,0,589,0,39,628,0,Grupo de recuento,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1226,B,1,0,B,6,63,25,14,11,4,1,186,2,3,4,4,1,1,0,0,1,1,0,0,1,3,0,331,0,8,339,524,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1226,C,1,0,C01,4,63,19,10,12,5,1,201,3,3,3,7,2,2,0,0,2,0,0,0,1,0,0,338,0,9,347,523,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1226,C,2,0,C02,1,71,32,5,11,5,3,184,1,7,3,9,0,3,0,0,0,0,0,0,6,3,0,344,0,9,353,523,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1231,B,1,0,B,8,102,24,7,8,2,1,155,3,4,2,8,1,2,0,0,1,1,0,0,1,0,0,330,0,13,343,438,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1231,C,1,0,C01,13,92,24,8,6,1,1,131,3,5,2,9,2,1,0,0,2,1,0,0,2,0,0,303,1,6,310,437,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1232,B,1,0,B,6,94,39,11,22,8,4,222,9,11,1,3,0,1,0,0,1,3,0,0,3,0,0,438,0,28,466,723,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1232,C,1,0,C01,5,64,27,9,25,6,5,230,11,13,1,1,0,0,0,0,1,1,0,0,1,1,0,401,1,21,423,722,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1232,C,2,0,C02,6,78,45,4,16,4,12,219,12,10,2,1,1,6,0,0,0,1,0,1,3,1,0,422,0,15,437,722,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1233,B,1,0,B,5,55,31,5,20,6,4,118,4,7,0,0,1,0,0,0,0,0,0,0,2,0,0,258,0,14,272,402,Acta casilla,,,
