ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PPG,IH,CG,PSM,PSG,CAND_IND1,CAND_IND2,CAND_IND4,CAND_IND5,CAND_IND7,CAND_IND8,CAND_IND9,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM,MORENA_ES,PAN_PRD,PRD_MC,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,11,C,1,0,C01,4,38,12,1,13,4,6,101,12,3,0,2,12,0,,,,,,,,1,0,0,0,2,1,,,212,0,9,221,472,Acta casilla,,,
12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,12,B,1,0,B,3,36,11,3,27,1,6,135,8,0,0,1,6,2,,,,,,,,0,0,0,0,1,1,,,241,0,9,250,443,Acta casilla,,,
12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,12,C,1,0,C01,1,40,15,1,22,4,9,123,8,1,3,1,8,1,,,,,,,,0,0,0,0,0,4,,,241,0,12,253,443,Grupo de recuento,,,
12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,13,B,1,0,B,5,83,21,2,27,2,5,169,10,1,0,3,13,1,,,,,,,,0,0,0,0,2,1,,,345,2,9,356,652,Grupo de recuento,,,
12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,13,C,1,0,C01,12,47,25,13,33,6,12,195,11,0,1,1,9,1,,,,,,,,0,0,0,0,0,0,,,366,0,22,388,652,Grupo de recuento,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,14,B,1,0,B,15,96,10,5,22,13,6,179,23,0,0,3,18,1,,,,,,,,0,0,0,0,3,8,,,402,0,20,422,712,Grupo de recuento,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,15,B,1,0,B,6,54,12,4,19,3,4,111,9,0,1,2,11,0,,,,,,,,0,0,0,0,0,0,,,236,0,14,250,446,Acta casilla,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,15,C,1,0,C01,5,62,3,6,16,7,6,100,5,0,0,0,18,2,,,,,,,,1,0,0,0,5,1,,,237,0,22,259,445,Acta casilla,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,16,B,1,0,B,1,34,21,4,9,5,8,85,14,1,0,0,9,0,,,,,,,,1,0,0,0,1,1,,,194,0,18,212,416,Acta casilla,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,16,C,1,0,C01,4,38,17,3,17,5,3,97,12,1,0,0,7,0,,,,,,,,0,2,0,0,4,1,,,211,0,18,229,415,Grupo de recuento,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,17,B,1,0,B,6,44,11,3,22,5,2,122,31,2,4,1,12,1,,,,,,,,0,0,0,0,0,2,,,268,0,10,278,500,Grupo de recuento,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,17,C,1,0,C01,11,37,7,2,18,6,3,107,19,0,0,3,15,2,,,,,,,,0,0,0,0,0,4,,,234,0,14,248,499,Grupo de recuento,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,18,B,1,0,B,7,71,15,3,27,6,3,154,78,2,0,5,12,1,,,,,,,,0,0,0,0,0,0,,,384,0,22,406,719,Grupo de recuento,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,18,C,1,0,C01,2,64,14,3,27,13,6,190,61,1,2,6,13,1,,,,,,,,0,0,0,0,1,0,,,404,0,26,430,718,Acta casilla,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,19,B,1,0,B,3,43,12,2,30,12,1,164,18,1,0,3,10,3,,,,,,,,0,2,0,1,0,5,,,310,0,19,329,593,Acta casilla,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,19,C,1,0,C01,8,43,20,2,27,9,6,152,10,0,0,1,10,1,,,,,,,,1,0,0,1,3,4,,,298,0,23,321,593,Acta casilla,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,19,C,2,0,C02,3,45,13,4,36,13,6,147,13,1,3,1,7,2,,,,,,,,0,0,0,0,0,7,,,301,0,16,317,592,Grupo de recuento,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,19,C,3,0,C03,3,43,17,2,30,9,4,167,13,0,0,2,12,2,,,,,,,,0,0,1,0,1,4,,,310,0,17,327,592,Grupo de recuento,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,20,B,1,0,B,6,67,9,4,33,10,1,132,17,2,3,0,21,1,,,,,,,,0,0,0,0,2,7,,,315,0,18,333,563,Acta casilla,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,20,C,1,0,C01,7,77,21,1,14,5,2,161,15,0,0,2,21,2,,,,,,,,0,0,0,0,0,3,,,331,0,15,346,563,Acta casilla,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,21,B,1,0,B,2,41,9,5,30,6,2,182,21,3,0,1,40,0,,,,,,,,0,0,1,1,1,3,,,348,0,5,353,641,Acta casilla,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,21,C,1,0,C01,9,44,15,2,33,10,7,182,22,2,0,2,34,3,,,,,,,,0,0,0,2,3,3,,,373,0,22,395,640,Grupo de recuento,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,22,B,1,0,B,3,64,16,4,50,25,1,160,15,1,0,2,36,1,,,,,,,,1,1,0,0,4,5,,,389,0,15,404,636,Grupo de recuento,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,22,C,1,0,C01,14,44,16,1,31,21,6,207,8,1,2,2,6,1,,,,,,,,0,0,0,0,3,2,,,365,0,11,376,636,Acta casilla,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,23,B,1,0,B,10,49,7,3,32,3,3,159,8,1,0,1,18,1,,,,,,,,0,0,0,0,1,3,,,299,0,10,309,530,Acta casilla,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,23,C,1,0,C01,9,53,10,4,20,2,2,158,5,1,0,2,18,1,,,,,,,,0,0,0,0,3,1,,,289,0,8,297,529,Grupo de recuento,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,23,C,2,0,C02,5,41,9,4,31,3,3,179,6,0,0,0,26,0,,,,,,,,1,0,0,0,2,2,,,312,0,12,324,529,Acta casilla,,,
12,GUERRERO,5,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,24,B,1,0,B,6,67,19,7,35,5,10,263,5,0,0,5,14,0,,,,,,,,0,0,0,0,1,1,,,438,0,10,448,611,Acta casilla,,,
12,GUERRERO,5,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,24,C,1,0,C01,9,73,28,6,39,4,4,226,7,1,1,1,12,1,,,,,,,,0,0,0,0,9,6,,,427,0,4,431,611,Grupo de recuento,,,
